index,compression,frame.size,median,lower,higher
total.dif.R,CBR320,5min,0.001268272,-0.001932877,0.005583972
total.dif.R,CBR256,5min,0.004702913,-0.001705511,0.013031405
total.dif.R,VBR0,5min,0.05355659,0.019345046,0.117220181
total.dif.R,CBR128,5min,0.084395992,-0.023156774,0.224166942
total.dif.R,CBR64,5min,-0.21822728,-1.262027926,0.458977684
total.dif.R,CBR32,5min,-1.343196749,-3.328849747,-0.130561475
total.dif.R,CBR16,5min,-6.093685359,-10.09200692,-4.275267034
total.dif.R,CBR16,5min,-6.093685359,-10.09200692,-4.275267034
total.dif.R,CBR8,5min,-14.56400881,-22.27868301,-10.61145157
total.dif.R,RAW,5min,0,0,0
total.abs.R,CBR320,5min,0.027979152,0.020194291,0.037885506
total.abs.R,CBR256,5min,0.059610734,0.040623642,0.079063751
total.abs.R,VBR0,5min,0.363739381,0.242332374,0.527538735
total.abs.R,CBR128,5min,0.905652534,0.634404046,1.409359839
total.abs.R,CBR64,5min,5.335375189,3.668645055,7.133547017
total.abs.R,CBR32,5min,7.993457353,5.931189527,10.65833326
total.abs.R,CBR16,5min,15.34323716,13.5017318,19.46159583
total.abs.R,CBR16,5min,15.34323716,13.5017318,19.46159583
total.abs.R,CBR8,5min,25.24245087,20.94887802,33.71733593
total.abs.R,RAW,5min,0,0,0
total.dif,CBR320,2_5min,-0.000223718,-0.002889667,0.002253219
total.dif,CBR256,2_5min,-0.001369231,-0.00675896,0.003246263
total.dif,VBR0,2_5min,-0.020571407,-0.054862341,0.006472021
total.dif,CBR128,2_5min,-0.08028908,-0.267667532,-0.00257381
total.dif,CBR64,2_5min,0.073495165,-0.256670525,0.485846306
total.dif,CBR32,2_5min,0.482883413,0.081551599,1.266104014
total.dif,CBR16,2_5min,0.804703742,0.032292293,1.835502764
total.dif,CBR16,2_5min,0.804703742,0.032292293,1.835502764
total.dif,CBR8,2_5min,0.775246075,0.046058953,1.669703801
total.dif,RAW,2_5min,0,0,0
total.abs.dif,CBR320,2_5min,0.024341789,0.018251826,0.031926778
total.abs.dif,CBR256,2_5min,0.05032182,0.035566628,0.06907392
total.abs.dif,VBR0,2_5min,0.348564066,0.242807482,0.487306279
total.abs.dif,CBR128,2_5min,0.840595769,0.554292509,1.379610806
total.abs.dif,CBR64,2_5min,4.656311001,3.497741774,5.629139318
total.abs.dif,CBR32,2_5min,6.40991135,5.02588293,7.71394725
total.abs.dif,CBR16,2_5min,10.4771512,9.34685325,11.99082866
total.abs.dif,CBR16,2_5min,10.4771512,9.34685325,11.99082866
total.abs.dif,CBR8,2_5min,12.95031469,11.5384675,14.56298588
total.abs.dif,RAW,2_5min,0,0,0
total.dif.R,CBR320,2_5min,0.001330677,-0.00219709,0.005295805
total.dif.R,CBR256,2_5min,0.004400728,-0.00207389,0.012507288
total.dif.R,VBR0,2_5min,0.051077763,0.016031624,0.108522535
total.dif.R,CBR128,2_5min,0.079370192,-0.018276519,0.195874706
total.dif.R,CBR64,2_5min,-0.082859895,-0.94685499,0.458355092
total.dif.R,CBR32,2_5min,-0.974690062,-2.607810201,0.063239822
total.dif.R,CBR16,2_5min,-3.977228301,-6.499233571,-2.739303025
total.dif.R,CBR16,2_5min,-3.977228301,-6.499233571,-2.739303025
total.dif.R,CBR8,2_5min,-9.869722526,-15.22474668,-7.353534373
total.dif.R,RAW,2_5min,0,0,0
total.abs.R,CBR320,2_5min,0.030000509,0.021668104,0.039787499
total.abs.R,CBR256,2_5min,0.059195863,0.042152512,0.078400371
total.abs.R,VBR0,2_5min,0.331452037,0.223060307,0.475361296
total.abs.R,CBR128,2_5min,0.803598051,0.56399867,1.262520114
total.abs.R,CBR64,2_5min,4.742458917,3.291074456,6.251630178
total.abs.R,CBR32,2_5min,6.986187787,5.150460659,9.177220105
total.abs.R,CBR16,2_5min,12.53540196,11.07650535,15.31740346
total.abs.R,CBR16,2_5min,12.53540196,11.07650535,15.31740346
total.abs.R,CBR8,2_5min,19.8261282,16.76184433,25.61454789
total.abs.R,RAW,2_5min,0,0,0
