Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
VJR,Analytical,CBR128,VJR,Midnight2,14,12,10min
D,Analytical,CBR128,D,Midnight3,21,12,10min
D,Analytical,CBR128,E,Midnight3,2,12,10min
D,Analytical,CBR128,VJR,Midnight3,1,12,10min
E,Analytical,CBR128,D,Midnight3,3,12,10min
E,Analytical,CBR128,E,Midnight3,16,12,10min
E,Analytical,CBR128,VJR,Midnight3,5,12,10min
VJR,Analytical,CBR128,D,Midnight3,1,12,10min
VJR,Analytical,CBR128,E,Midnight3,7,12,10min
VJR,Analytical,CBR128,VJR,Midnight3,16,12,10min
D,Analytical,CBR128,D,Dawn,59,4,10min
D,Analytical,CBR128,E,Dawn,7,4,10min
D,Analytical,CBR128,VJR,Dawn,14,4,10min
E,Analytical,CBR128,D,Dawn,10,4,10min
E,Analytical,CBR128,E,Dawn,37,4,10min
E,Analytical,CBR128,VJR,Dawn,19,4,10min
VJR,Analytical,CBR128,D,Dawn,1,4,10min
VJR,Analytical,CBR128,E,Dawn,12,4,10min
VJR,Analytical,CBR128,VJR,Dawn,55,4,10min
D,Analytical,CBR128,D,Dusk,60,4,10min
D,Analytical,CBR128,E,Dusk,5,4,10min
D,Analytical,CBR128,VJR,Dusk,7,4,10min
E,Analytical,CBR128,D,Dusk,14,4,10min
E,Analytical,CBR128,E,Dusk,34,4,10min
E,Analytical,CBR128,VJR,Dusk,24,4,10min
VJR,Analytical,CBR128,D,Dusk,3,4,10min
VJR,Analytical,CBR128,E,Dusk,11,4,10min
VJR,Analytical,CBR128,VJR,Dusk,58,4,10min
D,Analytical,CBR128,D,Midday,55,4,10min
D,Analytical,CBR128,E,Midday,20,4,10min
D,Analytical,CBR128,VJR,Midday,1,4,10min
E,Analytical,CBR128,D,Midday,26,4,10min
E,Analytical,CBR128,E,Midday,34,4,10min
E,Analytical,CBR128,VJR,Midday,12,4,10min
VJR,Analytical,CBR128,D,Midday,1,4,10min
VJR,Analytical,CBR128,E,Midday,18,4,10min
VJR,Analytical,CBR128,VJR,Midday,47,4,10min
D,Analytical,CBR128,D,Midnight,66,4,10min
D,Analytical,CBR128,E,Midnight,3,4,10min
D,Analytical,CBR128,VJR,Midnight,3,4,10min
E,Analytical,CBR128,D,Midnight,4,4,10min
E,Analytical,CBR128,E,Midnight,57,4,10min
E,Analytical,CBR128,VJR,Midnight,11,4,10min
VJR,Analytical,CBR128,D,Midnight,2,4,10min
VJR,Analytical,CBR128,E,Midnight,9,4,10min
VJR,Analytical,CBR128,VJR,Midnight,61,4,10min
D,Analytical,CBR128,D,Dawn1,23,8,10min
D,Analytical,CBR128,E,Dawn1,7,8,10min
D,Analytical,CBR128,VJR,Dawn1,6,8,10min
E,Analytical,CBR128,D,Dawn1,3,8,10min
E,Analytical,CBR128,E,Dawn1,20,8,10min
E,Analytical,CBR128,VJR,Dawn1,13,8,10min
VJR,Analytical,CBR128,D,Dawn1,0,8,10min
VJR,Analytical,CBR128,E,Dawn1,7,8,10min
VJR,Analytical,CBR128,VJR,Dawn1,29,8,10min
D,Analytical,CBR128,D,Dawn2,22,8,10min
D,Analytical,CBR128,E,Dawn2,12,8,10min
D,Analytical,CBR128,VJR,Dawn2,10,8,10min
E,Analytical,CBR128,D,Dawn2,10,8,10min
E,Analytical,CBR128,E,Dawn2,20,8,10min
E,Analytical,CBR128,VJR,Dawn2,0,8,10min
