compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
RAW,100,10min,0.948598131,0.948322099,0.947251931,Dawn,4,AudioSet
RAW,100,10min,0.87037037,0.88018278,0.87037037,Dusk,4,AudioSet
RAW,100,10min,0.981308411,0.980952381,0.981725146,Midday,4,AudioSet
RAW,100,10min,1,1,1,Midnight,4,AudioSet
VBR0,22.56,10min,0.943127962,0.941939891,0.940617716,Dawn,4,AudioSet
VBR0,22.56,10min,0.855140187,0.870218087,0.854590506,Dusk,4,AudioSet
VBR0,22.56,10min,0.981220657,0.980676329,0.981725146,Midday,4,AudioSet
VBR0,22.56,10min,1,1,1,Midnight,4,AudioSet
CBR128,16.667,2_5min,0.945093458,0.944573934,0.942619207,Dawn,4,AudioSet
CBR128,16.667,2_5min,0.869212963,0.883427167,0.869212963,Dusk,4,AudioSet
CBR128,16.667,2_5min,0.962155963,0.961274775,0.963120791,Midday,4,AudioSet
CBR128,16.667,2_5min,0.98377752,0.983917173,0.983755969,Midnight,4,AudioSet
CBR16,2.08,2_5min,0.927570093,0.930641887,0.924311126,Dawn,4,AudioSet
CBR16,2.08,2_5min,0.914351852,0.918714321,0.914351852,Dusk,4,AudioSet
CBR16,2.08,2_5min,0.955275229,0.954544753,0.956281566,Midday,4,AudioSet
CBR16,2.08,2_5min,0.930555556,0.93762159,0.930555556,Midnight,4,AudioSet
CBR256,33.35,2_5min,0.947429907,0.947015783,0.945107323,Dawn,4,AudioSet
CBR256,33.35,2_5min,0.850694444,0.871641832,0.850694444,Dusk,4,AudioSet
CBR256,33.35,2_5min,0.952981651,0.952275823,0.953872054,Midday,4,AudioSet
CBR256,33.35,2_5min,0.988425926,0.988441444,0.988425926,Midnight,4,AudioSet
CBR32,4.16,2_5min,0.933797909,0.933656438,0.933698409,Dawn,4,AudioSet
CBR32,4.16,2_5min,0.878472222,0.889179709,0.878472222,Dusk,4,AudioSet
CBR32,4.16,2_5min,0.938073394,0.936811455,0.936900253,Midday,4,AudioSet
CBR32,4.16,2_5min,0.96412037,0.964458073,0.96412037,Midnight,4,AudioSet
