compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR8,1.04,5min,0.770833333,0.847435043,0.770833333,Midnight1,12,AudioSet
CBR8,1.04,5min,0.847222222,0.885154062,0.847222222,Midnight2,12,AudioSet
CBR8,1.04,5min,0.909722222,0.912648498,0.909722222,Midnight3,12,AudioSet
CBR8,1.04,10min,0.905813953,0.906361295,0.904363488,0840_sample0,None,AudioSet
RAW,100,2_5min,0.813751088,0.81286736,0.813518836,0001_sample0,None,Analytical_Indices
RAW,100,20min,0.939814815,0.939523449,0.939185606,840,None,AudioSet
RAW,100,5min,0.80872093,0.807892204,0.809073762,0840_sample0,None,Analytical_Indices
CBR8,1.04,10min,0.813084112,0.812530781,0.809499406,Quarter_Day_Dawn,4,Analytical_Indices
CBR8,1.04,10min,0.657407407,0.663492063,0.657407407,Quarter_Day_Dusk,4,Analytical_Indices
CBR8,1.04,10min,0.794392523,0.852860338,0.798068403,Quarter_Day_Midday,4,Analytical_Indices
CBR8,1.04,10min,0.699074074,0.733700992,0.699074074,Quarter_Day_Midnight,4,Analytical_Indices
CBR8,1.04,2_5min,0.808411215,0.818771638,0.812028372,Quarter_Day_Dawn,4,Analytical_Indices
CBR8,1.04,2_5min,0.666666667,0.682853643,0.666666667,Quarter_Day_Dusk,4,Analytical_Indices
CBR8,1.04,2_5min,0.83411215,0.853541558,0.836196394,Quarter_Day_Midday,4,Analytical_Indices
CBR8,1.04,2_5min,0.730324074,0.75687636,0.730324074,Quarter_Day_Midnight,4,Analytical_Indices
CBR8,1.04,20min,0.859813084,0.872820538,0.852049911,Quarter_Day_Dawn,4,Analytical_Indices
CBR8,1.04,20min,0.648148148,0.690013341,0.648148148,Quarter_Day_Dusk,4,Analytical_Indices
CBR8,1.04,20min,0.76146789,0.834965035,0.762121212,Quarter_Day_Midday,4,Analytical_Indices
CBR8,1.04,20min,0.75,0.76657564,0.75,Quarter_Day_Midnight,4,Analytical_Indices
CBR8,1.04,5min,0.803317536,0.81504856,0.808610107,Quarter_Day_Dawn,4,Analytical_Indices
CBR8,1.04,5min,0.655092593,0.670433509,0.655092593,Quarter_Day_Dusk,4,Analytical_Indices
CBR8,1.04,5min,0.83640553,0.857081826,0.839066952,Quarter_Day_Midday,4,Analytical_Indices
CBR8,1.04,5min,0.724537037,0.745277956,0.724537037,Quarter_Day_Midnight,4,Analytical_Indices
CBR8,1.04,10min,0.944444444,0.947058824,0.944444444,Afternoon,8,Analytical_Indices
