Obs,Ind,Comp,Pred,Time,N
Grassland,AI,CBR8,Grassland,Dawn,246
Grassland,AS,RAW,Logged,Dawn,4
Grassland,AS,CBR8,Logged,Dawn,1
Grassland,AI,RAW,Logged,Dawn,53
Grassland,AI,CBR8,Logged,Dawn,23
Grassland,AS,RAW,Primary,Dawn,0
Grassland,AS,CBR8,Primary,Dawn,0
Grassland,AI,RAW,Primary,Dawn,36
Grassland,AI,CBR8,Primary,Dawn,51
Grassland,AS,RAW,Grassland,Midday,304
Grassland,AS,CBR8,Grassland,Midday,316
Grassland,AI,RAW,Grassland,Midday,270
Grassland,AI,CBR8,Grassland,Midday,276
Grassland,AS,RAW,Logged,Midday,4
Grassland,AS,CBR8,Logged,Midday,0
Grassland,AI,RAW,Logged,Midday,45
Grassland,AI,CBR8,Logged,Midday,13
Grassland,AS,RAW,Primary,Midday,12
Grassland,AS,CBR8,Primary,Midday,4
Grassland,AI,RAW,Primary,Midday,4
Grassland,AI,CBR8,Primary,Midday,15
Grassland,AS,RAW,Grassland,Dusk,275
Grassland,AS,CBR8,Grassland,Dusk,275
Grassland,AI,RAW,Grassland,Dusk,216
Grassland,AI,CBR8,Grassland,Dusk,227
Grassland,AS,RAW,Logged,Dusk,2
Grassland,AS,CBR8,Logged,Dusk,0
Grassland,AI,RAW,Logged,Dusk,22
Grassland,AI,CBR8,Logged,Dusk,9
Grassland,AS,RAW,Primary,Dusk,11
Grassland,AS,CBR8,Primary,Dusk,13
Grassland,AI,RAW,Primary,Dusk,49
Grassland,AI,CBR8,Primary,Dusk,52
Grassland,AS,RAW,Grassland,Midnight,288
Grassland,AS,CBR8,Grassland,Midnight,262
Grassland,AI,RAW,Grassland,Midnight,277
Grassland,AI,CBR8,Grassland,Midnight,227
Grassland,AS,RAW,Logged,Midnight,0
Grassland,AS,CBR8,Logged,Midnight,26
Grassland,AI,RAW,Logged,Midnight,9
Grassland,AI,CBR8,Logged,Midnight,58
Grassland,AS,RAW,Primary,Midnight,0
Grassland,AS,CBR8,Primary,Midnight,0
