Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
Grassland,AI,CBR320,Grassland,Afternoon,16,8,20min
Grassland,AI,CBR64,Grassland,Afternoon,16,8,20min
Grassland,AI,CBR8,Grassland,Afternoon,18,8,20min
Grassland,AI,RAW,Grassland,Afternoon,14,8,20min
Grassland,AI,VBR0,Grassland,Afternoon,15,8,20min
Grassland,AI,CBR128,Grassland,Afternoon,59,8,5min
Grassland,AI,CBR16,Grassland,Afternoon,58,8,5min
Grassland,AI,CBR256,Grassland,Afternoon,63,8,5min
Grassland,AI,CBR32,Grassland,Afternoon,53,8,5min
Grassland,AI,CBR320,Grassland,Afternoon,63,8,5min
Grassland,AI,CBR64,Grassland,Afternoon,53,8,5min
Grassland,AI,CBR8,Grassland,Afternoon,60,8,5min
Grassland,AI,RAW,Grassland,Afternoon,54,8,5min
Grassland,AI,VBR0,Grassland,Afternoon,34,8,5min
Grassland,AS,CBR128,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR16,Grassland,Afternoon,35,8,10min
Grassland,AS,CBR256,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR32,Grassland,Afternoon,35,8,10min
Grassland,AS,CBR320,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR64,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR8,Grassland,Afternoon,36,8,10min
Grassland,AS,RAW,Grassland,Afternoon,36,8,10min
Grassland,AS,VBR0,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR128,Grassland,Afternoon,140,8,2.5min
Grassland,AS,CBR16,Grassland,Afternoon,141,8,2.5min
Grassland,AS,CBR256,Grassland,Afternoon,142,8,2.5min
Grassland,AS,CBR32,Grassland,Afternoon,142,8,2.5min
Grassland,AS,CBR320,Grassland,Afternoon,143,8,2.5min
Grassland,AS,CBR64,Grassland,Afternoon,140,8,2.5min
Grassland,AS,CBR8,Grassland,Afternoon,142,8,2.5min
Grassland,AS,RAW,Grassland,Afternoon,142,8,2.5min
Grassland,AS,VBR0,Grassland,Afternoon,143,8,2.5min
Grassland,AS,CBR128,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR16,Grassland,Afternoon,17,8,20min
Grassland,AS,CBR256,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR32,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR320,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR64,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR8,Grassland,Afternoon,18,8,20min
Grassland,AS,RAW,Grassland,Afternoon,18,8,20min
Grassland,AS,VBR0,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR128,Grassland,Afternoon,72,8,5min
Grassland,AS,CBR16,Grassland,Afternoon,70,8,5min
Grassland,AS,CBR256,Grassland,Afternoon,72,8,5min
Grassland,AS,CBR32,Grassland,Afternoon,72,8,5min
Grassland,AS,CBR320,Grassland,Afternoon,72,8,5min
Grassland,AS,CBR64,Grassland,Afternoon,72,8,5min
Grassland,AS,CBR8,Grassland,Afternoon,72,8,5min
Grassland,AS,RAW,Grassland,Afternoon,72,8,5min
Grassland,AS,VBR0,Grassland,Afternoon,72,8,5min
Grassland,AI,CBR128,Grassland,Dawn,29,8,10min
Grassland,AI,CBR16,Grassland,Dawn,35,8,10min
Grassland,AI,CBR256,Grassland,Dawn,28,8,10min
Grassland,AI,CBR32,Grassland,Dawn,34,8,10min
Grassland,AI,CBR320,Grassland,Dawn,28,8,10min
Grassland,AI,CBR64,Grassland,Dawn,28,8,10min
Grassland,AI,CBR8,Grassland,Dawn,30,8,10min
Grassland,AI,RAW,Grassland,Dawn,34,8,10min
Grassland,AI,VBR0,Grassland,Dawn,31,8,10min
Grassland,AI,CBR128,Grassland,Dawn,111,8,2.5min
Grassland,AI,CBR16,Grassland,Dawn,137,8,2.5min
Grassland,AI,CBR256,Grassland,Dawn,107,8,2.5min
Grassland,AI,CBR32,Grassland,Dawn,118,8,2.5min
Grassland,AI,CBR320,Grassland,Dawn,106,8,2.5min
Grassland,AI,CBR64,Grassland,Dawn,118,8,2.5min
Grassland,AI,CBR8,Grassland,Dawn,116,8,2.5min
Grassland,AI,RAW,Grassland,Dawn,121,8,2.5min
Grassland,AI,VBR0,Grassland,Dawn,118,8,2.5min
Grassland,AI,CBR128,Grassland,Dawn,12,8,20min
Grassland,AI,CBR16,Grassland,Dawn,18,8,20min
Grassland,AI,CBR256,Grassland,Dawn,12,8,20min
Grassland,AI,CBR32,Grassland,Dawn,16,8,20min
Grassland,AI,CBR320,Grassland,Dawn,11,8,20min
Grassland,AI,CBR64,Grassland,Dawn,11,8,20min
Grassland,AI,CBR8,Grassland,Dawn,18,8,20min
Grassland,AI,RAW,Grassland,Dawn,16,8,20min
Grassland,AI,VBR0,Grassland,Dawn,13,8,20min
Grassland,AI,CBR128,Grassland,Dawn,57,8,5min
Grassland,AI,CBR16,Grassland,Dawn,69,8,5min
Grassland,AI,CBR256,Grassland,Dawn,57,8,5min
Grassland,AI,CBR32,Grassland,Dawn,60,8,5min
Grassland,AI,CBR320,Grassland,Dawn,60,8,5min
Grassland,AI,CBR64,Grassland,Dawn,51,8,5min
Grassland,AI,CBR8,Grassland,Dawn,61,8,5min
Grassland,AI,RAW,Grassland,Dawn,63,8,5min
Grassland,AI,VBR0,Grassland,Dawn,56,8,5min
Grassland,AS,CBR128,Grassland,Dawn,35,8,10min
Grassland,AS,CBR16,Grassland,Dawn,34,8,10min
Grassland,AS,CBR256,Grassland,Dawn,35,8,10min
Grassland,AS,CBR32,Grassland,Dawn,35,8,10min
Grassland,AS,CBR320,Grassland,Dawn,36,8,10min
Grassland,AS,CBR64,Grassland,Dawn,36,8,10min
Grassland,AS,CBR8,Grassland,Dawn,36,8,10min
Grassland,AS,RAW,Grassland,Dawn,35,8,10min
Grassland,AS,VBR0,Grassland,Dawn,35,8,10min
Grassland,AS,CBR128,Grassland,Dawn,140,8,2.5min
Grassland,AS,CBR16,Grassland,Dawn,138,8,2.5min
Grassland,AS,CBR256,Grassland,Dawn,143,8,2.5min
Grassland,AS,CBR32,Grassland,Dawn,140,8,2.5min
Grassland,AS,CBR320,Grassland,Dawn,143,8,2.5min
Grassland,AS,CBR64,Grassland,Dawn,139,8,2.5min
Grassland,AS,CBR8,Grassland,Dawn,142,8,2.5min
Grassland,AS,RAW,Grassland,Dawn,142,8,2.5min
Grassland,AS,VBR0,Grassland,Dawn,142,8,2.5min
Grassland,AS,CBR128,Grassland,Dawn,18,8,20min
Grassland,AS,CBR16,Grassland,Dawn,15,8,20min
Grassland,AS,CBR256,Grassland,Dawn,18,8,20min
Grassland,AS,CBR32,Grassland,Dawn,18,8,20min
Grassland,AS,CBR320,Grassland,Dawn,18,8,20min
Grassland,AS,CBR64,Grassland,Dawn,18,8,20min
Grassland,AS,CBR8,Grassland,Dawn,18,8,20min
Grassland,AS,RAW,Grassland,Dawn,18,8,20min
Grassland,AS,VBR0,Grassland,Dawn,18,8,20min
Grassland,AS,CBR128,Grassland,Dawn,72,8,5min
Grassland,AS,CBR16,Grassland,Dawn,68,8,5min
Grassland,AS,CBR256,Grassland,Dawn,72,8,5min
Grassland,AS,CBR32,Grassland,Dawn,71,8,5min
Grassland,AS,CBR320,Grassland,Dawn,71,8,5min
Grassland,AS,CBR64,Grassland,Dawn,71,8,5min
Grassland,AS,CBR8,Grassland,Dawn,71,8,5min
Grassland,AS,RAW,Grassland,Dawn,71,8,5min
Grassland,AS,VBR0,Grassland,Dawn,71,8,5min
Grassland,AI,CBR128,Grassland,Dusk,36,8,10min
Grassland,AI,CBR16,Grassland,Dusk,23,8,10min
Grassland,AI,CBR256,Grassland,Dusk,36,8,10min
Grassland,AI,CBR32,Grassland,Dusk,25,8,10min
Grassland,AI,CBR320,Grassland,Dusk,36,8,10min
Grassland,AI,CBR64,Grassland,Dusk,31,8,10min
Grassland,AI,CBR8,Grassland,Dusk,26,8,10min
Grassland,AI,RAW,Grassland,Dusk,34,8,10min
Grassland,AI,VBR0,Grassland,Dusk,26,8,10min
Grassland,AI,CBR128,Grassland,Dusk,114,8,2.5min
Grassland,AI,CBR16,Grassland,Dusk,88,8,2.5min
Grassland,AI,CBR256,Grassland,Dusk,126,8,2.5min
Grassland,AI,CBR32,Grassland,Dusk,102,8,2.5min
Grassland,AI,CBR320,Grassland,Dusk,111,8,2.5min
Grassland,AI,CBR64,Grassland,Dusk,124,8,2.5min
Grassland,AI,CBR8,Grassland,Dusk,111,8,2.5min
Grassland,AI,RAW,Grassland,Dusk,135,8,2.5min
Grassland,AI,VBR0,Grassland,Dusk,114,8,2.5min
Grassland,AI,CBR128,Grassland,Dusk,18,8,20min
Grassland,AI,CBR16,Grassland,Dusk,9,8,20min
Grassland,AI,CBR256,Grassland,Dusk,15,8,20min
Grassland,AI,CBR32,Grassland,Dusk,11,8,20min
Grassland,AI,CBR320,Grassland,Dusk,10,8,20min
Grassland,AI,CBR64,Grassland,Dusk,13,8,20min
Grassland,AI,CBR8,Grassland,Dusk,12,8,20min
Grassland,AI,RAW,Grassland,Dusk,15,8,20min
Grassland,AI,VBR0,Grassland,Dusk,12,8,20min
Grassland,AI,CBR128,Grassland,Dusk,69,8,5min
Grassland,AI,CBR16,Grassland,Dusk,44,8,5min
Grassland,AI,CBR256,Grassland,Dusk,71,8,5min
Grassland,AI,CBR32,Grassland,Dusk,52,8,5min
Grassland,AI,CBR320,Grassland,Dusk,71,8,5min
Grassland,AI,CBR64,Grassland,Dusk,66,8,5min
Grassland,AI,CBR8,Grassland,Dusk,52,8,5min
Grassland,AI,RAW,Grassland,Dusk,70,8,5min
Grassland,AI,VBR0,Grassland,Dusk,46,8,5min
Grassland,AS,CBR128,Grassland,Dusk,33,8,10min
Grassland,AS,CBR16,Grassland,Dusk,34,8,10min
Grassland,AS,CBR256,Grassland,Dusk,31,8,10min
Grassland,AS,CBR32,Grassland,Dusk,32,8,10min
Grassland,AS,CBR320,Grassland,Dusk,31,8,10min
Grassland,AS,CBR64,Grassland,Dusk,35,8,10min
Grassland,AS,CBR8,Grassland,Dusk,35,8,10min
Grassland,AS,RAW,Grassland,Dusk,31,8,10min
Grassland,AS,VBR0,Grassland,Dusk,32,8,10min
Grassland,AS,CBR128,Grassland,Dusk,131,8,2.5min
Grassland,AS,CBR16,Grassland,Dusk,142,8,2.5min
Grassland,AS,CBR256,Grassland,Dusk,129,8,2.5min
Grassland,AS,CBR32,Grassland,Dusk,131,8,2.5min
Grassland,AS,CBR320,Grassland,Dusk,131,8,2.5min
Grassland,AS,CBR64,Grassland,Dusk,137,8,2.5min
Grassland,AS,CBR8,Grassland,Dusk,136,8,2.5min
Grassland,AS,RAW,Grassland,Dusk,132,8,2.5min
Grassland,AS,VBR0,Grassland,Dusk,129,8,2.5min
Grassland,AS,CBR128,Grassland,Dusk,17,8,20min
Grassland,AS,CBR16,Grassland,Dusk,18,8,20min
Grassland,AS,CBR256,Grassland,Dusk,18,8,20min
Grassland,AS,CBR32,Grassland,Dusk,16,8,20min
Grassland,AS,CBR320,Grassland,Dusk,18,8,20min
Grassland,AS,CBR64,Grassland,Dusk,18,8,20min
Grassland,AS,CBR8,Grassland,Dusk,18,8,20min
Grassland,AS,RAW,Grassland,Dusk,18,8,20min
Grassland,AS,VBR0,Grassland,Dusk,17,8,20min
Grassland,AS,CBR128,Grassland,Dusk,70,8,5min
