"","index","compression","frame.size","median","lower","higher"
"84","total.dif","CBR128","5min",-0.085558645,-0.26669885,-0.0049614695
"85","total.dif","CBR64","5min",0.073943955,-0.240647275,0.478931575
"86","total.dif","CBR32","5min",0.4820482,0.0853924675,1.266135
"87","total.dif","CBR16","5min",0.8160486,0.04449033,1.8303305
"88","total.dif","CBR16","5min",0.8160486,0.04449033,1.8303305
"89","total.dif","CBR8","5min",0.79199315,0.0570516025,1.659805
"90","total.dif","RAW","5min",0,0,0
"91","total.abs.dif","CBR320","5min",0.01873454,0.0136884175,0.0249969475
"92","total.abs.dif","CBR256","5min",0.042643275,0.0287729075,0.0601125075
"93","total.abs.dif","VBR0","5min",0.33975095,0.2364404,0.474932175
"94","total.abs.dif","CBR128","5min",0.8393244,0.55352675,1.36242425
"95","total.abs.dif","CBR64","5min",4.602176,3.432442,5.54102275
"96","total.abs.dif","CBR32","5min",6.36548,4.96015875,7.61924525
"97","total.abs.dif","CBR16","5min",10.385905,9.26547625,11.88618
"98","total.abs.dif","CBR16","5min",10.385905,9.26547625,11.88618
"99","total.abs.dif","CBR8","5min",12.87834,11.43114,14.4646625
"100","total.abs.dif","RAW","5min",0,0,0
"101","total.dif.R","CBR320","5min",0.00126827245266191,-0.00193287700294344,0.00558397170933408
"102","total.dif.R","CBR256","5min",0.00470291328289875,-0.00170551107535597,0.0130314050655844
"103","total.dif.R","VBR0","5min",0.0535565903016796,0.0193450456249913,0.117220181274344
"104","total.dif.R","CBR128","5min",0.0843959916370392,-0.0231567739711929,0.22416694172553
"105","total.dif.R","CBR64","5min",-0.218227280323537,-1.26202792619689,0.458977684353416
"106","total.dif.R","CBR32","5min",-1.34319674935287,-3.32884974689886,-0.130561475442469
"107","total.dif.R","CBR16","5min",-6.09368535918211,-10.0920069178723,-4.27526703412962
"108","total.dif.R","CBR16","5min",-6.09368535918211,-10.0920069178723,-4.27526703412962
"109","total.dif.R","CBR8","5min",-14.5640088052524,-22.2786830097923,-10.6114515664038
"110","total.dif.R","RAW","5min",0,0,0
"111","total.abs.R","CBR320","5min",0.0279791521702583,0.0201942906549585,0.0378855055889881
"112","total.abs.R","CBR256","5min",0.0596107340742321,0.040623641545928,0.0790637509164988
"113","total.abs.R","VBR0","5min",0.363739381058102,0.242332373933038,0.527538734860803
"114","total.abs.R","CBR128","5min",0.905652533508491,0.634404045592793,1.40935983930526
"115","total.abs.R","CBR64","5min",5.33537518943786,3.66864505536215,7.13354701709293
"116","total.abs.R","CBR32","5min",7.99345735274158,5.93118952680222,10.6583332580401
"117","total.abs.R","CBR16","5min",15.343237156636,13.5017318012396,19.4615958318223
"118","total.abs.R","CBR16","5min",15.343237156636,13.5017318012396,19.4615958318223
"119","total.abs.R","CBR8","5min",25.2424508688876,20.9488780178961,33.717335926545
"120","total.abs.R","RAW","5min",0,0,0
"121","total.dif","CBR320","2_5min",-0.000223718,-0.0028896665,0.0022532185
"122","total.dif","CBR256","2_5min",-0.0013692305,-0.00675896,0.00324626325
"123","total.dif","VBR0","2_5min",-0.020571405,-0.0548623425,0.006472021
"124","total.dif","CBR128","2_5min",-0.08028908,-0.2676675,-0.0025738095
"125","total.dif","CBR64","2_5min",0.073495165,-0.256670525,0.4858463
"126","total.dif","CBR32","2_5min",0.4828834,0.0815516,1.26610375
"127","total.dif","CBR16","2_5min",0.80470375,0.0322922925,1.8355025
"128","total.dif","CBR16","2_5min",0.80470375,0.0322922925,1.8355025
"129","total.dif","CBR8","2_5min",0.7752461,0.0460589525,1.66970425
"130","total.dif","RAW","2_5min",0,0,0
"131","total.abs.dif","CBR320","2_5min",0.02434179,0.018251825,0.03192678
"132","total.abs.dif","CBR256","2_5min",0.05032182,0.0355666275,0.06907392
"133","total.abs.dif","VBR0","2_5min",0.34856405,0.242807475,0.487306275
"134","total.abs.dif","CBR128","2_5min",0.8405958,0.5542925,1.379611
"135","total.abs.dif","CBR64","2_5min",4.656311,3.497742,5.62913925
"136","total.abs.dif","CBR32","2_5min",6.409911,5.02588325,7.71394725
"137","total.abs.dif","CBR16","2_5min",10.47715,9.34685325,11.9908325
"138","total.abs.dif","CBR16","2_5min",10.47715,9.34685325,11.9908325
"139","total.abs.dif","CBR8","2_5min",12.950315,11.5384675,14.562985
"140","total.abs.dif","RAW","2_5min",0,0,0
"141","total.dif.R","CBR320","2_5min",0.00133067674394145,-0.00219697945647476,0.00529571777592834
"142","total.dif.R","CBR256","2_5min",0.00440084322817056,-0.00207393137254811,0.01250728807847
"143","total.dif.R","VBR0","2_5min",0.0510777625094794,0.0160316242760682,0.108522534865346
"144","total.dif.R","CBR128","2_5min",0.0793701915935773,-0.0182765183702001,0.195874709328404
"145","total.dif.R","CBR64","2_5min",-0.0828598985187257,-0.946855008153553,0.458355116955853
"146","total.dif.R","CBR32","2_5min",-0.974689853428488,-2.60781014144824,0.0632398633843572
"147","total.dif.R","CBR16","2_5min",-3.97722830114583,-6.4992335272017,-2.73930302528166
"148","total.dif.R","CBR16","2_5min",-3.97722830114583,-6.4992335272017,-2.73930302528166
"149","total.dif.R","CBR8","2_5min",-9.86972249385427,-15.2247466272444,-7.35353430886123
"150","total.dif.R","RAW","2_5min",0,0,0
